ep,pass,total_windows,pass_pct,avg_sharpe,avg_return_pct,avg_dd_pct,avg_trades
5,12,30,40.0,1.1136,40.10,41.26,17
6,15,30,50.0,2.0014,47.17,38.93,16
7,17,30,56.7,2.3627,49.79,37.99,16
8,20,30,66.7,2.3104,54.63,37.58,15
9,18,30,60.0,2.1912,58.60,37.63,15
10,18,30,60.0,2.5775,64.72,35.29,15
11,22,30,73.3,3.1478,93.03,34.65,15
12,21,30,70.0,3.1002,86.83,35.02,15
13,22,30,73.3,2.8970,52.09,37.30,14
14,23,30,76.7,3.4935,65.20,35.34,14
15,26,30,86.7,4.1930,67.17,31.26,13
16,24,30,80.0,3.7893,61.26,30.72,13
17,24,30,80.0,3.7820,69.74,31.29,13
18,25,30,83.3,4.8515,102.14,28.31,13
19,27,30,90.0,4.8763,103.12,28.38,12
20,27,30,90.0,5.2107,114.94,25.59,12
21,27,30,90.0,6.6083,108.04,23.85,12
22,27,30,90.0,6.4569,104.75,24.34,12
23,28,30,93.3,6.3297,107.05,23.67,12
24,28,30,93.3,6.5946,110.95,23.63,11
25,28,30,93.3,6.5512,110.88,24.17,11
26,27,30,90.0,6.8033,109.49,22.12,11
27,27,30,90.0,6.6653,111.27,21.61,11
28,27,30,90.0,6.6769,111.51,21.63,11
29,27,30,90.0,6.2795,102.49,22.51,11
30,27,30,90.0,6.1750,102.55,22.51,11
31,27,30,90.0,6.1612,102.27,22.63,11
32,26,30,86.7,6.1087,99.66,22.46,11
33,26,30,86.7,5.9115,89.98,23.53,11
34,26,30,86.7,6.7499,100.30,21.70,10
35,26,30,86.7,7.2098,108.70,21.46,10
36,27,30,90.0,7.0172,108.06,21.40,10
37,27,30,90.0,6.2695,106.84,21.59,10
38,27,30,90.0,6.1242,105.91,21.40,10
39,27,30,90.0,6.1471,107.01,20.65,10
40,25,30,83.3,5.8158,104.58,21.48,10
41,25,30,83.3,5.8012,104.08,21.49,10
42,23,30,76.7,5.6335,103.58,21.74,10
43,26,30,86.7,7.0146,109.81,20.90,10
44,26,30,86.7,7.7551,111.32,20.15,9
45,25,30,83.3,6.1041,106.57,20.96,10
46,25,30,83.3,6.2068,111.44,20.67,9
47,25,30,83.3,6.0292,108.49,21.11,10
48,26,30,86.7,5.8583,106.69,20.90,9
49,26,30,86.7,5.5617,105.08,21.78,9
50,26,30,86.7,6.0592,103.68,21.26,9
51,27,30,90.0,6.5437,108.21,20.30,9
52,26,30,86.7,6.3714,106.09,20.48,9
53,26,30,86.7,6.0195,104.25,20.15,9
54,25,30,83.3,6.5990,104.61,20.34,9
55,25,30,83.3,6.2847,102.98,20.56,9
