bar,ef_60,ef_63,ef_59,ef_65,ef_81
0,149.180448,161.404127,156.201573,200.166775,287.471305
1,135.321833,162.946655,147.384315,213.865422,242.209322
2,1962.927209,1978.583032,1009.138854,2130.142438,7021.944657
3,43305.943445,45009.027084,22804.817342,48456.717311,214382.090646
4,63658.084821,66161.552800,33522.211530,72944.512960,673248.800571
5,276701.887898,234083.076080,73254.689320,85840.236738,1266075.752244
6,1767548.447097,1561041.995551,647023.575911,736830.914149,6456570.553033
