rank,strategy,score,full_return_pct,full_trades,full_win_rate_pct,wf_passed,wf_total,wf_avg_return_pct,wf_avg_trades,resample_passed,resample_total,resample_avg_return_pct,resample_avg_trades,universe_first_place,universe_total,loo_first_place,loo_total,bootstrap_first_place,bootstrap_total
1,Turtle+Regime,0.956354,3171.6,398,53.02,4,4,672.1,72.2,15,15,909.5,96.7,9,9,6,6,59,64
2,Turtle20,0.497403,2735.3,446,50.00,4,4,571.6,81.0,14,15,789.3,107.0,0,9,0,6,2,64
3,MaCross50,0.469772,1734.1,300,52.67,4,4,349.5,54.0,14,15,413.1,68.7,0,9,0,6,0,64
4,Turtle+MACD,0.457254,1591.7,173,52.60,3,4,376.3,29.8,15,15,454.2,39.7,0,9,0,6,0,64
5,MACD+Regime,0.452640,955.4,448,45.54,3,4,210.5,80.5,14,15,307.8,105.3,0,9,0,6,3,64
6,MomentumBreakout,0.432364,2785.3,269,50.93,3,4,549.8,47.8,13,15,719.7,62.3,0,9,0,6,0,64
7,MACD,0.388328,729.1,689,45.72,2,4,92.4,124.5,12,15,241.7,162.0,0,9,0,6,0,64
8,Turtle+Regime+MACD,0.359565,1462.3,158,51.90,2,4,354.3,27.8,12,15,424.8,37.0,0,9,0,6,0,64
