symbol,entry_bar,exit_bar,bars_held,entry_price,exit_price,gross_pct,net_pct,fee_pct,by_turtle,by_maxhold
ETHUSDT,310,310,1,129.03,138.03,6.97512206463613,6.76138555701451,0.21373650762162022,1,0
ETHUSDT,311,313,2,138.03,113.8,-17.55415489386366,-17.718881857112667,0.16472696324900582,1,0
ETHUSDT,319,327,8,139.1,124.95,-10.172537742631194,-10.352013191696852,0.1794754490656576,1,0
SOLUSDT,370,370,1,53.531,62.016,15.850628607722616,15.619158820294633,0.23146978742798296,1,0
SOLUSDT,371,371,1,62.016,64.123,3.3975103199174406,3.190921887709841,0.20658843220759948,1,0
SOLUSDT,372,372,1,64.123,72.663,13.318154172449814,13.091744274003347,0.22640989844646775,1,0
SOLUSDT,373,378,5,72.663,70.527,-2.939597869617272,-3.1335247470006378,0.19392687738336578,1,0
SOLUSDT,382,384,2,87.98,110.25,25.312571038872456,25.062196271562055,0.25037476731040087,1,0
SOLUSDT,385,385,1,110.25,108.27,-1.795918367346938,-1.992130318660934,0.19621195131399594,1,0
SOLUSDT,387,387,1,110.71,128.23,15.82512871465993,15.593709876069205,0.23141883859072543,1,0
SOLUSDT,388,391,3,128.23,164.22,28.06675504952041,27.81087741705386,0.25587763246655015,1,0
SOLUSDT,392,392,1,164.22,173.46,5.626598465473154,5.4155563106969895,0.21104215477616428,1,0
SOLUSDT,393,393,1,173.46,191.02,10.123371382451296,9.903344666402436,0.22002671604886004,1,0
SOLUSDT,394,395,1,191.02,179.6,-5.978431577845256,-6.1662868594079985,0.18785528156274278,1,0
BTCUSDT,396,408,12,4015.53,4144.56,3.2132744619016718,3.007054133306486,0.2062203285951858,0,1
BTCUSDT,410,410,1,4857.29,4932.6,1.550453030393495,1.347555022340785,0.20289800805270986,1,0
BTCUSDT,411,418,7,4932.6,5017.37,1.718566273364952,1.5153323747169045,0.20323389864804753,1,0
BTCUSDT,430,432,2,5357.14,5219.9,-2.5618146996345237,-2.7564963885463256,0.19468168891180193,1,0
SOLUSDT,436,439,3,176.72,202.14,14.3843368039837,14.155796670509213,0.2285401334744872,1,0
SOLUSDT,440,442,2,202.14,184.49,-8.73157217769861,-8.913926678842078,0.18235450114346818,1,0
BTCUSDT,445,448,3,5846.34,7076.22,21.036751198185534,20.79491952745991,0.24183167072562384,1,0
SOLUSDT,449,456,7,220.82,233.09,5.556561905624502,5.3456596840348425,0.21090222158965943,1,0
BTCUSDT,464,472,8,8614.43,7687.03,-10.765657158976282,-10.943947554263033,0.1782903952867514,1,0
BTCUSDT,484,490,6,8808.7,10729.5,21.80571480468172,21.56234674313393,0.24336806154779111,1,0
