ep,cp,avg_sharpe,avg_ret_pct,avg_max_dd_pct,total_trades,pass_count,total_windows
22,7,6.6968,1291.2739,45.77,59,2,2
22,8,5.5613,994.6954,48.38,59,2,2
22,9,5.5041,1143.3914,46.62,59,2,2
22,10,5.5285,1058.3632,49.77,59,2,2
22,11,5.6133,1062.2954,45.11,60,2,2
22,12,4.6676,826.8349,40.04,61,1,2
22,13,3.6406,838.6588,44.37,62,1,2
22,14,3.8492,534.2009,41.63,63,1,2
22,15,4.4554,698.8249,41.63,62,2,2
22,16,4.4725,903.1608,46.24,64,2,2
22,17,3.3836,694.2513,46.80,65,1,2
22,18,4.4180,773.4038,43.17,64,2,2
22,19,4.3099,799.4278,42.34,64,1,2
22,20,5.0689,792.6650,44.54,65,2,2
23,5,5.8738,508.5654,53.99,58,2,2
23,6,6.8224,711.7512,49.66,57,2,2
23,7,6.4957,1246.4687,48.67,59,2,2
23,8,5.3222,960.9568,51.35,59,2,2
23,9,5.2687,1106.5877,49.43,59,1,2
23,10,5.2993,1023.2568,52.58,59,2,2
23,11,5.3720,1026.2745,48.52,60,2,2
23,12,4.2292,660.1468,43.45,61,1,2
23,13,3.2139,668.4840,47.46,62,1,2
23,14,3.4053,420.7366,45.04,63,1,2
23,15,4.0391,555.6565,45.04,62,1,2
23,16,4.3328,872.8948,49.22,64,1,2
23,17,3.1757,670.9597,49.71,65,1,2
23,18,4.2078,746.1406,46.50,64,1,2
23,19,4.1003,772.0026,45.67,64,1,2
23,20,4.9236,764.0540,47.61,65,2,2
24,5,6.2359,531.8615,49.07,57,2,2
24,6,6.6885,699.2335,49.89,56,2,2
24,7,6.3652,1237.8277,48.90,58,2,2
24,8,5.1380,955.6062,51.58,58,2,2
24,9,5.0731,1101.9606,49.66,58,1,2
24,10,5.1379,1018.7810,52.52,58,1,2
24,11,5.0156,1015.3033,51.19,59,2,2
24,12,3.8535,652.2376,47.31,60,1,2
24,13,2.9800,665.8651,48.90,61,1,2
24,14,3.0133,413.9625,47.71,62,1,2
24,15,3.7123,547.6997,47.71,61,1,2
24,16,4.1220,864.8959,53.34,63,1,2
24,17,2.8194,665.8256,53.74,64,1,2
24,18,3.8768,737.5475,49.11,63,1,2
24,19,3.7663,764.3147,48.27,63,1,2
24,20,4.8663,760.7215,49.02,63,2,2
25,5,6.4755,541.6594,49.07,57,2,2
25,6,6.9505,707.9999,49.89,56,2,2
25,7,6.6028,1229.4101,48.90,58,2,2
25,8,5.4435,946.2120,51.58,58,2,2
25,9,5.3897,1088.5156,49.66,58,2,2
25,10,5.4407,1007.8650,52.52,58,2,2
25,11,5.3215,1004.7739,51.19,59,2,2
25,12,4.1789,645.6002,47.31,60,1,2
25,13,3.3326,656.6804,48.90,61,1,2
25,14,3.3538,410.6762,47.71,62,1,2
25,15,3.9932,543.0297,47.71,61,1,2
25,16,4.3083,854.7175,53.34,62,1,2
25,17,3.1463,656.5960,53.74,63,1,2
25,18,4.1742,730.2762,48.54,62,1,2
25,19,4.0670,755.6928,47.71,62,1,2
